Pair,Metric,Accuracy,sex,race
P1,Train,1.00,(0.50) 0.00,(0.50) 0.00
P1/P1,GT Train,1.00,(0.50) 0.00,(0.50) 0.00
P1/P1,GT Test,1.00,(0.50) 0.00,(0.50) 0.00
P1/P1,Unbiased Bridge,0.85,(0.47) -0.01,(0.32) 0.03
P1/P1,Biased Bridge,1.00,(0.44) -0.01,(0.42) 0.01
P1/P2,GT Train,0.87,(0.00) 0.08,(0.00) 0.20
P1/P2,GT Test,0.86,(0.29) 0.03,(0.11) 0.09
P1/P2,Unbiased Bridge,0.84,(0.33) 0.03,(0.05) 0.12
P1/P2,Biased Bridge,1.00,(0.41) 0.01,(0.14) 0.08
P1/P3,GT Train,0.80,(0.23) -0.02,(0.00) 0.14
P1/P3,GT Test,0.82,(0.20) -0.05,(0.14) 0.08
P1/P3,Unbiased Bridge,0.78,(0.19) -0.05,(0.07) 0.10
P1/P3,Biased Bridge,1.00,(0.23) -0.04,(0.17) 0.07
P1/Average,GT Train,0.80,(0.00) 0.22,(0.00) 0.12
P1/Average,GT Test,0.82,(0.00) 0.23,(0.47) -0.00
P1/Average,Unbiased Bridge,0.78,(0.00) 0.20,(0.36) 0.03
P1/Average,Biased Bridge,1.00,(0.01) 0.15,(0.45) 0.01
